涉及疾病,涉及疾病的编号,疾病描述
T-cell acute lymphoblastic leukemia,H00002,"Acute lymphocytic leukemia (ALL) is a clonal stem cell malignancy of excessive lymphoblast proliferation. It is now understood that ALL and lymphoblastic lymphoma are the same disease entities at the morphologic and immunophenotypic levels and classified as either B- and T-cell lymphoblastic leukemia/lymphoma (B-ALL and T-ALL). T-ALL comprises 15% of paediatric and 25% of adult ALL cases. T cell transformation is a multi-step process in which different genetic alterations cooperate to alter the normal mechanisms that control cell growth, proliferation, survival, and differentiation during thymocyte development. In this context, constitutive activation of NOTCH1 signaling is the most prominent oncogenic pathway in T cell transformation. In addition, T-ALLs characteristically show the translocation and aberrant expression of transcription factor oncogenes. These oncogenic transcription factors include T-cell leukaemia homeobox protein 1 (TLX1 also known as HOX11), TLX3 (HOX11L2), LYL1, TAL1 and MLL."
Aortic valve disease,H00554,"Aortic valve disease (AOVD), also known as bicuspid aortic valve, is the most common congenital heart defect with strong male predominance. It may arise in isolation or in association with other congenital heart lesions. The bicuspid aortic valve is typically made of two unequal-sized leaflets, whereas the normal valve is known to have three leaflets."
Adams-Oliver syndrome,H01413,"Adams-Oliver syndrome (AOS) is a rare condition defined by the combination of aplasia cutis congenita (ACC), characterized by scalp and skull lesions, and transverse limb abnormalities. Mutations in ARHGAP31 (AOS1), RBPJ (AOS3) and NOTCH1 (AOS5) cause autosomal dominant AOS. Mutations in DOCK6 (AOS2) and EOGT (AOS4) result in autosomal recessive AOS."
Idiopathic generalized epilepsies,H00808,"Idiopathic generalized epilepsies (EIG) are the most common types of epilepsy in childhood and adolescence. Based on the main seizure type and age at onset, four classic subsyndromes exist: childhood absence epilepsy, juvenile absence epilepsy, juvenile myoclonic epilepsy, and epilepsy with generalized tonic-clonic seizures alone. Although autosomal dominant inheritance occurs in rare families, clinical genetic data indicate that complex inheritance involving two or more genes is likely in the majority of families."
Childhood absence epilepsy,H02215,"Childhood absence epilepsy (CAE/ECA) is a common idiopathic generalized epilepsy, accounts for 10% to 12% of epilepsy in children under 16 years of age. This condition begins in childhood with absences, which are brief episodes of loss of consciousness. It has been reported that mutations in several genes encoding subunits of the GABAA receptor are associated with this disease."
Focal cortical dysplasia of Taylor,H01251,Focal cortical dysplasia of Taylor (FCDT) is a subtype of cortical displasias. FCDT is characterized by epilepsy associated malformations that are often composed of balloon cells and dysplastic neurons. It has been found that inherited mutations in the TSC1 gene can cause this disorder.
Smith-Kingsmore syndrome,H01928,"Smith-Kingsmore syndrome (SKS), also known as macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome (MINDS syndrome), is a rare autosomal dominant disorder. Heterozygous mutations in MTOR gene have been shown to underlie SKS. The most consistent findings in SKS are intellectual disability (ID), developmental delay, megalencephaly, and seizures. There is moderate clinical variability, ranging from patients with macrocephaly, mild ID, and no convulsions, to severe forms in patients with intractable epilepsy, megalencephaly, severe ID, and autistic spectrum disorder."
You-Hoover-Fong syndrome,H01789,"You-Hoover-Fong syndrome is an autosomal-recessive syndromic form of intellectual disability. It has been reported that compound heterozygous variants in TELO2 were found from six affected individuals from four families with intellectual disability and neurological and other congenital abnormalities, suggesting that these TELO2 variants result in loss of function and cause this disease."
Neurodevelopmental disorder with microcephaly,H02461,Neurodevelopmental disorder (NED) with microcephaly is a group of syndromic neurodevelopmental disorders. Most of them have complications in addition to microcephaly. Several underlying genetic causes of these diseases have been identified.
Head and neck squamous cell carcinoma,H02610,"Head and neck squamous cell carcinoma (HNSCC) is the sixth most common cancer in the world, affecting the pharynx, larynx and oral cavity. It is well known that smoking and alcohol abuse are major risk factors for HNSCC. Additionally, human papillomavirus infection is another implicated risk factor. Although lifestyle factors account for the majority of HNSCCs, genetic alterations will cause some individuals to be more sensitive to these environmental factors."
Non-Hodgkin lymphoma,H02418,"Non-Hodgkin lymphoma (NHL) is one of the most common hematologic malignancies worldwide. NHL includes malignant tumors of the lymphoid tissues variously resulting from the clonal growth of B cells, T cells and natural killer cells. NHL can be broadly classified based on the type of lymphocyte involved: B lymphocyte (B cell) or T lymphocyte (T cell) and is further classified by other factors, including whether it is aggressive or indolent. Aggressive NHL is fast-growing disease. It mainly includes mantle cell lymphoma, diffuse large B-cell lymphoma, Burkitt's lymphoma, lymphoblastic lymphoma and peripheral T-cell lymphoma. On the other hand, indolent NHL is slow-growing disease. It mainly includes follicular lymphoma, cutaneous T-cell lymphoma, lymphoplasmacytic lymphoma and MALT lymphoma."
Neurodevelopmental disorder with dysmorphic facies,H02535,
