涉及疾病,涉及疾病的编号,涉及疾病的通路,通路编号
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Proteasome,hsa03050
Proteasome-associated autoinflammatory syndrome,H02532,Proteasome,hsa03050
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Ubiquitin mediated proteolysis,hsa04120
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Proteasome,hsa03050
"Deafness, cataract, impaired intellectual development, and polyneuropathy",H02634,Proteasome,hsa03050
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Ubiquitin mediated proteolysis,hsa04120
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Proteasome,hsa03050
Hepatocellular carcinoma; Liver cancer,H00048,Wnt signaling pathway,hsa04310
Hepatocellular carcinoma; Liver cancer,H00048,Calcium signaling pathway,hsa04020
Hepatocellular carcinoma; Liver cancer,H00048,PI3K-Akt signaling pathway,hsa04151
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,hsa04210
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,hsa04217
Autoimmune lymphoproliferative syndromes,H00108,T cell receptor signaling pathway,hsa04660
Lennox-Gastaut syndrome,H01813,MAPK signaling pathway,hsa04010
Lennox-Gastaut syndrome,H01813,"Growth hormone synthesis, secretion and action",hsa04935
Lennox-Gastaut syndrome,H01813,Dopaminergic synapse,hsa04728
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Diseases of the tricarboxylic acid cycle,H01022,Citrate cycle (TCA cycle),hsa00020
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Citrate cycle (TCA cycle),hsa00020
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Oxidative phosphorylation,hsa00190
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Thermogenesis,hsa04714
Paraganglioma,H02538,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Oxidative phosphorylation,hsa00190
Cowden syndrome,H01222,PI3K-Akt signaling pathway,hsa04151
Malignant paraganglioma; Pheochromocytoma,H01510,MAPK signaling pathway,hsa04010
Gastrotintestinal stromal tumor,H01591,Phospholipase D signaling pathway,hsa04072
Gastrotintestinal stromal tumor,H01591,PI3K-Akt signaling pathway,hsa04151
Gastrotintestinal stromal tumor,H01591,Oxidative phosphorylation,hsa00190
Gastrotintestinal stromal tumor,H01591,Citrate cycle (TCA cycle),hsa00020
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Citrate cycle (TCA cycle),hsa00020
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Oxidative phosphorylation,hsa00190
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Thermogenesis,hsa04714
Paraganglioma,H02538,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Oxidative phosphorylation,hsa00190
Malignant paraganglioma; Pheochromocytoma,H01510,MAPK signaling pathway,hsa04010
Gastrotintestinal stromal tumor,H01591,Phospholipase D signaling pathway,hsa04072
Gastrotintestinal stromal tumor,H01591,PI3K-Akt signaling pathway,hsa04151
Gastrotintestinal stromal tumor,H01591,Oxidative phosphorylation,hsa00190
Gastrotintestinal stromal tumor,H01591,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Oxidative phosphorylation,hsa00190
Cowden syndrome,H01222,PI3K-Akt signaling pathway,hsa04151
Malignant paraganglioma; Pheochromocytoma,H01510,MAPK signaling pathway,hsa04010
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Citrate cycle (TCA cycle),hsa00020
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Oxidative phosphorylation,hsa00190
Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency,H02005,Thermogenesis,hsa04714
Paraganglioma,H02538,Citrate cycle (TCA cycle),hsa00020
Paraganglioma,H02538,Oxidative phosphorylation,hsa00190
Mitochondrial complex III deficiency,H02086,Cardiac muscle contraction,hsa04260
Mitochondrial complex III deficiency,H02086,Oxidative phosphorylation,hsa00190
Mitochondrial complex III deficiency,H02086,Thermogenesis,hsa04714
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Mitochondrial complex III deficiency,H02086,Cardiac muscle contraction,hsa04260
Mitochondrial complex III deficiency,H02086,Oxidative phosphorylation,hsa00190
Mitochondrial complex III deficiency,H02086,Thermogenesis,hsa04714
Mitochondrial complex III deficiency,H02086,Cardiac muscle contraction,hsa04260
Mitochondrial complex III deficiency,H02086,Oxidative phosphorylation,hsa00190
Mitochondrial complex III deficiency,H02086,Thermogenesis,hsa04714
Mitochondrial complex III deficiency,H02086,Cardiac muscle contraction,hsa04260
Mitochondrial complex III deficiency,H02086,Oxidative phosphorylation,hsa00190
Mitochondrial complex III deficiency,H02086,Thermogenesis,hsa04714
Mitochondrial complex III deficiency,H02086,Cardiac muscle contraction,hsa04260
Mitochondrial complex III deficiency,H02086,Oxidative phosphorylation,hsa00190
Mitochondrial complex III deficiency,H02086,Thermogenesis,hsa04714
Mitochondrial complex III deficiency,H02086,Cardiac muscle contraction,hsa04260
Mitochondrial complex III deficiency,H02086,Oxidative phosphorylation,hsa00190
Mitochondrial complex III deficiency,H02086,Thermogenesis,hsa04714
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Congenital mirror movements,H01287,Axon guidance,hsa04360
Congenital mirror movements,H01287,Homologous recombination,hsa03440
Lissencephaly,H00268,PI3K-Akt signaling pathway,hsa04151
Lissencephaly,H00268,Focal adhesion,hsa04510
Lissencephaly,H00268,ECM-receptor interaction,hsa04512
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Macrothrombocytopenia,H01740,Platelet activation,hsa04611
Macrothrombocytopenia,H01740,Hematopoietic cell lineage,hsa04640
Macrothrombocytopenia,H01740,Focal adhesion,hsa04510
Macrothrombocytopenia,H01740,ECM-receptor interaction,hsa04512
Macrothrombocytopenia,H01740,Regulation of actin cytoskeleton,hsa04810
Macrothrombocytopenia,H01740,PI3K-Akt signaling pathway,hsa04151
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Macrothrombocytopenia,H01740,Platelet activation,hsa04611
Macrothrombocytopenia,H01740,Hematopoietic cell lineage,hsa04640
Macrothrombocytopenia,H01740,Focal adhesion,hsa04510
Macrothrombocytopenia,H01740,ECM-receptor interaction,hsa04512
Macrothrombocytopenia,H01740,Regulation of actin cytoskeleton,hsa04810
Macrothrombocytopenia,H01740,PI3K-Akt signaling pathway,hsa04151
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Congenital fibrosis of the extraocular muscles,H00838,Phagosome,hsa04145
Congenital fibrosis of the extraocular muscles,H00838,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Autophagy - animal,hsa04140
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,RNA polymerase,hsa03020
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Cytosolic DNA-sensing pathway,hsa04623
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Aminoacyl-tRNA biosynthesis,hsa00970
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Sphingolipid signaling pathway,hsa04071
Primary dystonia,H00831,Autophagy - animal,hsa04140
Primary dystonia,H00831,Cytoskeleton in muscle cells,hsa04820
Leber congenital amaurosis,H00837,Retinol metabolism,hsa00830
Leber congenital amaurosis,H00837,Purine metabolism,hsa00230
Leber congenital amaurosis,H00837,Hippo signaling pathway,hsa04390
Leber congenital amaurosis,H00837,Phototransduction,hsa04744
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Gap junction,hsa04540
Lennox-Gastaut syndrome,H01813,MAPK signaling pathway,hsa04010
Lennox-Gastaut syndrome,H01813,"Growth hormone synthesis, secretion and action",hsa04935
Lennox-Gastaut syndrome,H01813,Dopaminergic synapse,hsa04728
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Hereditary spastic paraplegia,H00266,Endocytosis,hsa04144
Hereditary spastic paraplegia,H00266,Lysosome,hsa04142
Hereditary spastic paraplegia,H00266,Glycerophospholipid metabolism,hsa00564
Hereditary spastic paraplegia,H00266,Purine metabolism,hsa00230
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,hsa04820
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Lissencephaly,H00268,PI3K-Akt signaling pathway,hsa04151
Lissencephaly,H00268,Focal adhesion,hsa04510
Lissencephaly,H00268,ECM-receptor interaction,hsa04512
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Macrothrombocytopenia,H01740,Platelet activation,hsa04611
Macrothrombocytopenia,H01740,Hematopoietic cell lineage,hsa04640
Macrothrombocytopenia,H01740,Focal adhesion,hsa04510
Macrothrombocytopenia,H01740,ECM-receptor interaction,hsa04512
Macrothrombocytopenia,H01740,Regulation of actin cytoskeleton,hsa04810
Macrothrombocytopenia,H01740,PI3K-Akt signaling pathway,hsa04151
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Macrothrombocytopenia,H01740,Platelet activation,hsa04611
Macrothrombocytopenia,H01740,Hematopoietic cell lineage,hsa04640
Macrothrombocytopenia,H01740,Focal adhesion,hsa04510
Macrothrombocytopenia,H01740,ECM-receptor interaction,hsa04512
Macrothrombocytopenia,H01740,Regulation of actin cytoskeleton,hsa04810
Macrothrombocytopenia,H01740,PI3K-Akt signaling pathway,hsa04151
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Congenital fibrosis of the extraocular muscles,H00838,Phagosome,hsa04145
Congenital fibrosis of the extraocular muscles,H00838,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Autophagy - animal,hsa04140
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,RNA polymerase,hsa03020
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Cytosolic DNA-sensing pathway,hsa04623
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Aminoacyl-tRNA biosynthesis,hsa00970
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Sphingolipid signaling pathway,hsa04071
Primary dystonia,H00831,Autophagy - animal,hsa04140
Primary dystonia,H00831,Cytoskeleton in muscle cells,hsa04820
Leber congenital amaurosis,H00837,Retinol metabolism,hsa00830
Leber congenital amaurosis,H00837,Purine metabolism,hsa00230
Leber congenital amaurosis,H00837,Hippo signaling pathway,hsa04390
Leber congenital amaurosis,H00837,Phototransduction,hsa04744
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Gap junction,hsa04540
"Deafness, autosomal dominant",H00604,Calcium signaling pathway,hsa04020
"Deafness, autosomal dominant",H00604,Cytoskeleton in muscle cells,hsa04820
Hereditary gingival fibromatosis,H01250,MAPK signaling pathway,hsa04010
Osteogenesis imperfecta,H00506,Wnt signaling pathway,hsa04310
Osteogenesis imperfecta,H00506,Cytoskeleton in muscle cells,hsa04820
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Cell cycle,hsa04110
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,PI3K-Akt signaling pathway,hsa04151
Burkitt lymphoma,H00008,Epstein-Barr virus infection,hsa05169
Small cell lung cancer,H00013,Apoptosis,hsa04210
Non-small cell lung cancer,H00014,Calcium signaling pathway,hsa04020
Esophageal cancer,H00017,Cell cycle,hsa04110
Esophageal cancer,H00017,Cellular senescence,hsa04218
Colorectal cancer,H00020,Wnt signaling pathway,hsa04310
Colorectal cancer,H00020,TGF-beta signaling pathway,hsa04350
Colorectal cancer,H00020,Apoptosis,hsa04210
Penile cancer,H00025,Human papillomavirus infection,hsa05165
Ovarian cancer,H00027,PI3K-Akt signaling pathway,hsa04151
Ovarian cancer,H00027,Thyroid hormone signaling pathway,hsa04919
Vulvar cancer,H00029,Human papillomavirus infection,hsa05165
Breast cancer,H00031,Homologous recombination,hsa03440
Breast cancer,H00031,Fanconi anemia pathway,hsa03460
Breast cancer,H00031,PI3K-Akt signaling pathway,hsa04151
Adrenal carcinoma,H00033,Aldosterone synthesis and secretion,hsa04925
Osteosarcoma,H00036,Cell cycle,hsa04110
Osteosarcoma,H00036,Cellular senescence,hsa04218
Glioma,H00042,Calcium signaling pathway,hsa04020
Cancer of the anal canal,H00044,Human papillomavirus infection,hsa05165
Hepatocellular carcinoma; Liver cancer,H00048,Wnt signaling pathway,hsa04310
Hepatocellular carcinoma; Liver cancer,H00048,Calcium signaling pathway,hsa04020
Hepatocellular carcinoma; Liver cancer,H00048,PI3K-Akt signaling pathway,hsa04151
Li-Fraumeni syndrome,H00881,MAPK signaling pathway,hsa04010
Li-Fraumeni syndrome,H00881,Cell cycle,hsa04110
Li-Fraumeni syndrome,H00881,p53 signaling pathway,hsa04115
Li-Fraumeni syndrome,H00881,Apoptosis,hsa04210
